lid1,lid2,E1,E2,J1,J2,snr,wn_ritz,wn_obs,wn_obs_unc,obs-ritz,I_calc,I_obs,gA,L1,L2
0,120,0.0000,23229.9676,3.5,4.5,4927,23229.9676,23229.9661,0.0011,-0.0015,8.6e+05,9.4e+05,4.5e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 120 23.1930 4f4.(5I).6p 6K* 4.5
0,123,0.0000,23197.7599,3.5,3.5,124,23197.7599,23197.7561,0.0011,-0.0038,5.7e+04,2.5e+04,2.7e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
0,117,0.0000,22663.7025,3.5,3.5,198,22663.7025,22663.7076,0.0011,0.0051,3.8e+04,3.8e+04,2.2e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 117 22.8975 4f3.(4I*).5d2.(1G) 4H* 3.5
0,146,0.0000,24569.7601,3.5,4.5,162,24569.7601,24569.7590,0.0013,-0.0011,3.0e+04,4.6e+04,2.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 146 24.8074 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 4.5
0,185,0.0000,26188.6387,3.5,3.5,388,26188.6387,26188.6454,0.0013,0.0067,2.3e+04,3.3e+04,3.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 185 26.4136 4f3.(4F*).5d2.(3F) 6F* 3.5
0,197,0.0000,26656.1861,3.5,3.5,94,26656.1861,26656.1806,0.0013,-0.0055,1.4e+04,6.9e+03,2.4e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
0,340,0.0000,30893.8354,3.5,3.5,8,30893.8354,30893.8325,0.0143,-0.0029,1.1e+03,1.3e+03,1.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 340 31.1003 4f3.(4G*).5d.(2D).(5H*).6s 6H* 3.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,138,513.3372,24445.3747,4.5,5.5,2785,23932.0376,23932.0376,0.0010,0.0000,5.6e+05,4.8e+05,3.9e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
1,120,513.3372,23229.9676,4.5,4.5,1144,22716.6305,22716.6345,0.0018,0.0040,1.7e+05,1.6e+05,9.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 120 23.1930 4f4.(5I).6p 6K* 4.5
1,123,513.3372,23197.7599,4.5,3.5,589,22684.4227,22684.4245,0.0009,0.0018,1.3e+05,6.2e+04,6.3e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
1,185,513.3372,26188.6387,4.5,3.5,72,25675.3015,25675.2922,0.0015,-0.0093,5.7e+04,7.9e+03,8.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 185 26.4136 4f3.(4F*).5d2.(3F) 6F* 3.5
1,146,513.3372,24569.7601,4.5,4.5,33,24056.4230,24056.4497,0.0063,0.0267,5.2e+04,9.4e+03,4.0e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 146 24.8074 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 4.5
1,197,513.3372,26656.1861,4.5,3.5,10,26142.8489,26142.7913,0.0264,-0.0576,1.2e+04,1.9e+03,2.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
1,340,513.3372,30893.8354,4.5,3.5,225,30380.4982,30380.4982,0.0013,0.0000,6.2e+03,1.9e+04,7.4e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 340 31.1003 4f3.(4G*).5d.(2D).(5H*).6s 6H* 3.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,164,1470.1088,25524.4675,5.5,6.5,2991,24054.3587,24054.3587,0.0020,0.0000,6.6e+05,6.6e+05,6.1e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 164 25.5432 4f4.(5I).6p 6K* 6.5
2,138,1470.1088,24445.3747,5.5,5.5,1026,22975.2659,22975.2659,0.0010,0.0000,1.5e+05,1.4e+05,1.0e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3,138,1650.2103,24445.3747,4.5,5.5,2055,22795.1644,22795.1644,0.0010,-0.0000,2.9e+05,2.9e+05,2.0e+08,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
3,123,1650.2103,23197.7599,4.5,3.5,118,21547.5495,21547.5499,0.0008,0.0004,4.9e+04,1.2e+04,2.4e+07,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
3,117,1650.2103,22663.7025,4.5,3.5,144,21013.4922,21013.4879,0.0010,-0.0043,2.0e+04,8.0e+03,1.2e+07,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 117 22.8975 4f3.(4I*).5d2.(1G) 4H* 3.5
3,197,1650.2103,26656.1861,4.5,3.5,131,25005.9757,25006.0001,0.0026,0.0244,6.3e+03,5.5e+04,1.1e+07,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4,199,2585.4704,26912.7513,6.5,7.5,3651,24327.2809,24327.2809,0.0021,-0.0000,8.1e+05,7.7e+05,1.0e+09,id 4 2.5646 4f4.(5I).6s 6I 6.5,id 199 26.9222 4f4.(5I).6p 6K* 7.5
4,164,2585.4704,25524.4675,6.5,6.5,1569,22938.9971,22938.9971,0.0021,0.0000,2.6e+05,3.0e+05,2.4e+08,id 4 2.5646 4f4.(5I).6s 6I 6.5,id 164 25.5432 4f4.(5I).6p 6K* 6.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
6,248,3801.9375,28418.9498,7.5,8.5,4126,24617.0123,24617.0160,0.0020,0.0037,9.1e+05,8.2e+05,1.6e+09,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 248 28.4190 4f4.(5I).6p 6K* 8.5
6,199,3801.9375,26912.7513,7.5,7.5,1452,23110.8138,23110.8138,0.0021,0.0000,2.6e+05,2.9e+05,3.3e+08,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 199 26.9222 4f4.(5I).6p 6K* 7.5
6,323,3801.9375,30967.7942,7.5,7.5,99,27165.8567,27165.8425,0.0028,-0.0142,7.5e+04,1.3e+04,2.3e+08,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 323 30.7189 4f4.(5I).6p 6H* 7.5
6,308,3801.9375,30679.6814,7.5,7.5,72,26877.7439,26877.7511,0.0015,0.0073,2.3e+04,5.2e+03,1.1e+08,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 308 30.4201 4f3.(2H2*).5d2.(3F) 4I* 7.5
6,275,3801.9375,29557.6440,7.5,7.5,277,25755.7064,25755.6968,0.0020,-0.0096,3.5e+03,3.1e+04,1.2e+07,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 275 29.2883 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 7.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9,323,5085.6344,30967.7942,8.5,7.5,943,25882.1598,25882.1625,0.0012,0.0027,2.1e+05,8.5e+04,6.4e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 323 30.7189 4f4.(5I).6p 6H* 7.5
9,248,5085.6344,28418.9498,8.5,8.5,734,23333.3154,23333.3113,0.0021,-0.0041,1.4e+05,1.5e+05,2.4e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 248 28.4190 4f4.(5I).6p 6K* 8.5
9,275,5085.6344,29557.6440,8.5,7.5,66,24472.0095,24472.0325,0.0031,0.0229,1.3e+05,1.7e+04,4.2e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 275 29.2883 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 7.5
9,308,5085.6344,30679.6814,8.5,7.5,60,25594.0470,25594.0388,0.0016,-0.0082,5.3e+04,6.0e+03,2.5e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 308 30.4201 4f3.(2H2*).5d2.(3F) 4I* 7.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,117,0.0000,22663.7025,3.5,3.5,198,22663.7025,22663.7076,0.0011,0.0051,3.8e+04,3.8e+04,2.2e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 117 22.8975 4f3.(4I*).5d2.(1G) 4H* 3.5
3,117,1650.2103,22663.7025,4.5,3.5,144,21013.4922,21013.4879,0.0010,-0.0043,2.0e+04,8.0e+03,1.2e+07,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 117 22.8975 4f3.(4I*).5d2.(1G) 4H* 3.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,120,0.0000,23229.9676,3.5,4.5,4927,23229.9676,23229.9661,0.0011,-0.0015,8.6e+05,9.4e+05,4.5e+08,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 120 23.1930 4f4.(5I).6p 6K* 4.5
1,120,513.3372,23229.9676,4.5,4.5,1144,22716.6305,22716.6345,0.0018,0.0040,1.7e+05,1.6e+05,9.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 120 23.1930 4f4.(5I).6p 6K* 4.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,123,513.3372,23197.7599,4.5,3.5,589,22684.4227,22684.4245,0.0009,0.0018,1.3e+05,6.2e+04,6.3e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
0,123,0.0000,23197.7599,3.5,3.5,124,23197.7599,23197.7561,0.0011,-0.0038,5.7e+04,2.5e+04,2.7e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
3,123,1650.2103,23197.7599,4.5,3.5,118,21547.5495,21547.5499,0.0008,0.0004,4.9e+04,1.2e+04,2.4e+07,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 123 23.3876 4f3.(4I*).5d2.(3P) 4H* 3.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,138,513.3372,24445.3747,4.5,5.5,2785,23932.0376,23932.0376,0.0010,0.0000,5.6e+05,4.8e+05,3.9e+08,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
3,138,1650.2103,24445.3747,4.5,5.5,2055,22795.1644,22795.1644,0.0010,-0.0000,2.9e+05,2.9e+05,2.0e+08,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
2,138,1470.1088,24445.3747,5.5,5.5,1026,22975.2659,22975.2659,0.0010,0.0000,1.5e+05,1.4e+05,1.0e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 138 24.3884 4f4.(5I).6p 6K* 5.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,146,513.3372,24569.7601,4.5,4.5,33,24056.4230,24056.4497,0.0063,0.0267,5.2e+04,9.4e+03,4.0e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 146 24.8074 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 4.5
0,146,0.0000,24569.7601,3.5,4.5,162,24569.7601,24569.7590,0.0013,-0.0011,3.0e+04,4.6e+04,2.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 146 24.8074 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 4.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,164,1470.1088,25524.4675,5.5,6.5,2991,24054.3587,24054.3587,0.0020,0.0000,6.6e+05,6.6e+05,6.1e+08,id 2 1.4636 4f4.(5I).6s 6I 5.5,id 164 25.5432 4f4.(5I).6p 6K* 6.5
4,164,2585.4704,25524.4675,6.5,6.5,1569,22938.9971,22938.9971,0.0021,0.0000,2.6e+05,3.0e+05,2.4e+08,id 4 2.5646 4f4.(5I).6s 6I 6.5,id 164 25.5432 4f4.(5I).6p 6K* 6.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,185,513.3372,26188.6387,4.5,3.5,72,25675.3015,25675.2922,0.0015,-0.0093,5.7e+04,7.9e+03,8.2e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 185 26.4136 4f3.(4F*).5d2.(3F) 6F* 3.5
0,185,0.0000,26188.6387,3.5,3.5,388,26188.6387,26188.6454,0.0013,0.0067,2.3e+04,3.3e+04,3.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 185 26.4136 4f3.(4F*).5d2.(3F) 6F* 3.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,197,0.0000,26656.1861,3.5,3.5,94,26656.1861,26656.1806,0.0013,-0.0055,1.4e+04,6.9e+03,2.4e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
1,197,513.3372,26656.1861,4.5,3.5,10,26142.8489,26142.7913,0.0264,-0.0576,1.2e+04,1.9e+03,2.1e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
3,197,1650.2103,26656.1861,4.5,3.5,131,25005.9757,25006.0001,0.0026,0.0244,6.3e+03,5.5e+04,1.1e+07,id 3 1.6564 4f4.(5I).6s 4I 4.5,id 197 26.8439 4f3.(4I*).5d2.(1G) 4F* 3.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4,199,2585.4704,26912.7513,6.5,7.5,3651,24327.2809,24327.2809,0.0021,-0.0000,8.1e+05,7.7e+05,1.0e+09,id 4 2.5646 4f4.(5I).6s 6I 6.5,id 199 26.9222 4f4.(5I).6p 6K* 7.5
6,199,3801.9375,26912.7513,7.5,7.5,1452,23110.8138,23110.8138,0.0021,0.0000,2.6e+05,2.9e+05,3.3e+08,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 199 26.9222 4f4.(5I).6p 6K* 7.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
6,248,3801.9375,28418.9498,7.5,8.5,4126,24617.0123,24617.0160,0.0020,0.0037,9.1e+05,8.2e+05,1.6e+09,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 248 28.4190 4f4.(5I).6p 6K* 8.5
9,248,5085.6344,28418.9498,8.5,8.5,734,23333.3154,23333.3113,0.0021,-0.0041,1.4e+05,1.5e+05,2.4e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 248 28.4190 4f4.(5I).6p 6K* 8.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9,275,5085.6344,29557.6440,8.5,7.5,66,24472.0095,24472.0325,0.0031,0.0229,1.3e+05,1.7e+04,4.2e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 275 29.2883 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 7.5
6,275,3801.9375,29557.6440,7.5,7.5,277,25755.7064,25755.6968,0.0020,-0.0096,3.5e+03,3.1e+04,1.2e+07,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 275 29.2883 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 7.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9,308,5085.6344,30679.6814,8.5,7.5,60,25594.0470,25594.0388,0.0016,-0.0082,5.3e+04,6.0e+03,2.5e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 308 30.4201 4f3.(2H2*).5d2.(3F) 4I* 7.5
6,308,3801.9375,30679.6814,7.5,7.5,72,26877.7439,26877.7511,0.0015,0.0073,2.3e+04,5.2e+03,1.1e+08,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 308 30.4201 4f3.(2H2*).5d2.(3F) 4I* 7.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9,323,5085.6344,30967.7942,8.5,7.5,943,25882.1598,25882.1625,0.0012,0.0027,2.1e+05,8.5e+04,6.4e+08,id 9 5.0444 4f4.(5I).6s 6I 8.5,id 323 30.7189 4f4.(5I).6p 6H* 7.5
6,323,3801.9375,30967.7942,7.5,7.5,99,27165.8567,27165.8425,0.0028,-0.0142,7.5e+04,1.3e+04,2.3e+08,id 6 3.7701 4f4.(5I).6s 6I 7.5,id 323 30.7189 4f4.(5I).6p 6H* 7.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,340,513.3372,30893.8354,4.5,3.5,225,30380.4982,30380.4982,0.0013,0.0000,6.2e+03,1.9e+04,7.4e+07,id 1 0.5251 4f4.(5I).6s 6I 4.5,id 340 31.1003 4f3.(4G*).5d.(2D).(5H*).6s 6H* 3.5
0,340,0.0000,30893.8354,3.5,3.5,8,30893.8354,30893.8325,0.0143,-0.0029,1.1e+03,1.3e+03,1.3e+07,id 0 0.0271 4f4.(5I).6s 6I 3.5,id 340 31.1003 4f3.(4G*).5d.(2D).(5H*).6s 6H* 3.5
